,1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
372,2023,4606WVLVLN1528H,110060259991.0,VALVOLINE GLOBAL PRODUCTS,15280 HERRIMAN BLVD,NOBLESVILLE,HAMILTON,IN,46060,,,40.0108,-86.00547,NAD83,VGP HOLDINGS LLC,118797771.0,VGP HOLDINGS LLC,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221770858,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
402,2023,46312PLLTN4343K,110000397874.0,TRADEBE TREATMENT & RECYCLING LLC,4343 KENNEDY AVE,EAST CHICAGO,LAKE,IN,46312,,,41.633441,-87.461568,NAD83,TRADEBE GP,20221619.0,TRADEBE ENVIRONMENTAL SERVICES LLC,,,TRADEBE GP,NO,562,Hazardous Waste,,,,,,,562211,,,,,,1323221653924,Diisocyanates,NO,N120,N120,649715.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46800.0,1495.0,0.0,0.0,0.0,0.0,0.0,48295.0,0.0,0.0,0.0,0.0,0.0,0.0,13198.0,0.0,13198.0,0.0,26302.0,0.0,0.0,0.0,0.0,26302.0,0.0,87795.0,48304.0,0.0,0.0,9.0,48295.0,0.0,0.0,13198.0,76956.0,0.0,0.0,26302.0,164760.0,,PRODUCTION,1.0
438,2023,46515LJHNS2100S,110002115210.0,L. E. JOHNSON PRODUCTS INC.,2100 STERLING AVE,ELKHART,ELKHART,IN,46516,,,41.66464,-85.95088,NAD83,,,,,,,NO,332,Fabricated Metals,,,,,,,332510,,,,,,1323221552185,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9707.0,9707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9707.0,0.0,0.0,9707.0,,ACTIVITY,0.75
464,2023,46706RVSBRCR427,110000400129.0,FXI INC. - AUBURN,2211 S WAYNE ST,AUBURN,DEKALB,IN,46706,,,41.34698,-85.0622,NAD83,FXI INC.,831446518.0,FXI INC,,,,NO,326,Plastics and Rubber,,,,,,,326150,,,,,,1323221828609,Toluene diisocyanate (mixed isomers),NO,0026471625,26471-62-5,239681.0,NO,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,8.49,161.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,275.0,0.0,275.0,169.84,0.0,0.0,169.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,444.84,,PRODUCTION,0.96
528,2023,46550KNTRY5EWAB,110031113300.0,KOUNTRY WOOD PRODUCTS LLC,500 E WABASH AVE,NAPPANEE,ELKHART,IN,46550,,,41.438945,-85.996739,NAD83,KOUNTRY WOOD PRODUCTS LLC,110811192.0,KOUNTRY WOOD PRODUCTS LLC,,,,NO,337,Furniture,,,,,,,337110,,,,,,1323221597685,Ethylbenzene,NO,0000100414,100-41-4,19406.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,250.0,6122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2798.0,0.0,2798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2798.0,6372.0,0.0,0.0,6372.0,0.0,0.0,0.0,2798.0,0.0,0.0,0.0,0.0,9170.0,,PRODUCTION,0.65
563,2023,47978CHFND1225E,110002116834.0,CHIEF INDUSTRIES INC BUILDINGS DIV,1225 E MAPLE ST,RENSSELAER,JASPER,IN,47978,,,40.9456,-87.1381,NAD83,CHIEF INDUSTRIES INC,7497852.0,CHIEF INDUSTRIES INC,,,,NO,332,Fabricated Metals,,,,,,,332311,,,,,,1323222128718,Chromium,NO,0007440473,7440-47-3,150060.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142721.0,142721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142721.0,0.067,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,142721.0,0.0,0.0,142721.067,,PRODUCTION,1.03
564,2023,47715WNDSR601NO,110000403938.0,SRG GLOBAL TRIM LLC,601 N CONGRESS AVE,EVANSVILLE,VANDERBURGH,IN,47715,,,37.9835,-87.50024,NAD83,KOCH INDUSTRIES INC,6944334.0,KOCH INDUSTRIES INC,,,,NO,326,Plastics and Rubber,,,,,,,326199,,,,,,1323222140636,Copper  And Copper Compounds,YES,N100,N100,649491.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,25893.97,1534.0,0.0,0.0,27427.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27488.97,78.0,0.0,0.0,17.0,0.0,61.0,0.0,0.0,0.0,27427.97,0.0,0.0,27505.97,,PRODUCTION,1.01
584,2023,4713WRLLFR125NR,110042001142.0,ROLL FORMING CORP,1205 NORTH ACCESS ROAD,JEFFERSONVILLE,CLARK,IN,47130,,,38.327013,-85.669185,NAD83,VOESTALPINE,,VOESTALPINE,,,,NO,332,Fabricated Metals,,,,,,,332114,,,,,,1323221564596,Manganese,NO,0007439965,7439-96-5,149625.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91628.0,91628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91628.0,0.0,0.0,91628.0,,ACTIVITY,1.11
588,2023,46962PTBRF868E8,110032592317.0,POET BIOREFINING-NORTH MANCHESTER LLC,868 E 800 N,NORTH MANCHESTER,WABASH,IN,46962,,,40.9461,-85.7834,NAD83,POET HOLDING CO LLC,37463009.0,POET HOLDING CO LLC,,,,NO,325,Chemicals,,,,,,,325193,,,,,,1323221759158,Acetaldehyde,NO,0000075070,75-07-0,5280.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,29.0,9900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9929.0,0.0,0.0,9929.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,259929.0,,PRODUCTION,1.1
604,2023,46327MRTHN426CL,110041026029.0,MPLX TERMINALS LLC - HAMMOND IN TERMINAL,4206 COLUMBIA AVE,HAMMOND,LAKE,IN,46327,,,41.63775,-87.500472,NAD83,MARATHON PETROLEUM CORP,968393996.0,MARATHON PETROLEUM CORP,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221798085,Benzene,NO,0000071432,71-43-2,4754.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,92.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,862.0,0.0,0.0,862.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,864.0,,PRODUCTION,0.66
