,MASTER_AI_ID,FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,REGULATORY_PROGRAM,CLOSURE_TYPE,CONTROL_TYPE,IC_ID,INSTRUMENT_ID,DATE_IC_RECORDED,CONTROL_METHOD,AFFECTED_MEDIA,CONSTITUENTS_OF_CONCERN,RESTRICTION_COVERAGE,IC_VFC_ID,FULL_ADDRESS,ZIP_CODE
10,61,1343,Speedway 9638,1113 W Eads Pkwy,LAWRENCEBURG,DEARBORN,UST,"LUS No Further Action 9/14/2011
Conditional Closure 4/25/19",Environmental Restrictive Covenant,26,2011005469,07/07/2011,"Agricultural or Food Crop, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,"PAH - Polynuclear Aromatic Hydrocarbons, Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property,62987877,"1113 W Eads Pkwy, LAWRENCEBURG",47022
11,64,1030,Keeneys Amoco,201 S Jackson St,FRANKFORT,CLINTON,UST,LUS No Further Action 3/31/2014,Environmental Restrictive Covenant,1140,,02/24/2014,"Ground Water Use Restriction, Residential Use Restriction, Soil Restoration",Ground Water; Subsurface Soil,Petroleum,Entire Property,69820043,"201 S Jackson St, FRANKFORT",46039
12,80,2948,Clark Oil 1922,205 Adams Rd,DECATUR,ADAMS,LUST,LUS No Further Action 3/22/2007,Environmental Restrictive Covenant,283,2007000747,02/20/2007,"Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,"Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property,24014786,"205 Adams Rd, DECATUR",46711
13,147,19385,Holiday Inn,300 E Washington Blvd,FORT WAYNE,ALLEN,UST,LUS No Further Action 11/7/2012,Environmental Restrictive Covenant,320,2012028593,05/25/2011,"Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,Petroleum,Entire Property,66302650,"300 E Washington Blvd, FORT WAYNE",46741
14,150,4120207,Clark Oil 686,312 N Walnut,HARTFORD CITY,BLACKFORD,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1143,,03/10/2016,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,80264241,"312 N Walnut, HARTFORD CITY",47348
15,150,4120207,Clark Oil 686,312 N Walnut,HARTFORD CITY,BLACKFORD,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1143,,03/10/2016,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,80264241,"312 N Walnut, HARTFORD CITY",47348
16,150,4120207,Clark Oil 686,312 N Walnut,HARTFORD CITY,BLACKFORD,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1144,,03/10/2016,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,80264226,"312 N Walnut, HARTFORD CITY",47348
17,150,4120207,Clark Oil 686,312 N Walnut,HARTFORD CITY,BLACKFORD,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1144,,03/10/2016,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,80264226,"312 N Walnut, HARTFORD CITY",47348
18,152,2991,Circle K,2304 Sherman Boulevard,FORT WAYNE,ALLEN,LUST,LUS No Further Action 12/19/2007,Environmental Restrictive Covenant,423,2007047694,08/22/2007,"Agricultural or Food Crop, Ground Water Use Restriction, Other Restriction (Specify), Residential Use Restriction",Ground Water; Subsurface Soil,"Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property,21097183,"2304 Sherman Boulevard, FORT WAYNE",46741
19,152,2991,Circle K 2248,2304 Sherman Boulevard,FORT WAYNE,ALLEN,LUST,LUS No Further Action 12/19/2007,Environmental Restrictive Covenant,423,2007047694,08/22/2007,"Agricultural or Food Crop, Ground Water Use Restriction, Other Restriction (Specify), Residential Use Restriction",Ground Water; Subsurface Soil,"Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property,21097183,"2304 Sherman Boulevard, FORT WAYNE",46741
20,158,2914,Clark Oil 982,1011 Broadway St,FORT WAYNE,ALLEN,LUST,LUS No Further Action 8/3/2010,Environmental Restrictive Covenant,595,2010004348,02/02/2010,"Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,Petroleum,Entire Property,54234898,"1011 Broadway St, FORT WAYNE",46741
21,174,2931,Tobacco Road 74,908 25th St,COLUMBUS,BARTHOLOMEW,LUST,LUS No Further Action 4/27/2012,Environmental Restrictive Covenant,568,201200000150,01/06/2012,"Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,TPH - Total Petroleum Hydrocarbons,Entire Property,65028468,"908 25th St, COLUMBUS",47203
22,213,7102,Speedway 6226,3202 Taylor St,FORT WAYNE,ALLEN,LUST,LUS No Further Action 7/20/2006,Environmental Restrictive Covenant,490,206016724,03/28/2006,"Agricultural or Food Crop, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,Petroleum,Entire Property,25183646,"3202 Taylor St, FORT WAYNE",46741
23,229,6980706,Ball-Foster Glass Container Company,1509 S Macedonia Ave,MUNCIE,DELAWARE,VRP,VRP Certificate of Completion 6/28/2000,Deed Notice,760,2000/2555-2559,07/24/2000,Residential Use Restriction,Subsurface Soil,Petroleum,Entire Property,66614361,"1509 S Macedonia Ave, MUNCIE",47303
24,231,200612063,"Design Institute America, Inc",919 E 14th St,JASPER,DUBOIS,State Cleanup,SCS No Further Action 7/10/2008,Environmental Restrictive Covenant,906,115905; 118275; 2008003193; 85259,06/06/2008,"Ground Water Use Restriction, Residential Use Restriction",Subsurface Soil,Metals,Entire Property; Portion of Property,51288162,"919 E 14th St, JASPER",47521
25,239,6990303,Former National Guard Armory,330 S Clinton St,FORT WAYNE,ALLEN,VRP,VRP Certificate of Completion 5/15/2002,Deed Notice,662,204051388,07/12/2004,Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,Petroleum,Entire Property,46259328,"330 S Clinton St, FORT WAYNE",46741
26,324,203,Former Shell Gasoline Station,1930 Indianapolis Ave,LEBANON,BOONE,LUST,LUS No Further Action 10/10/2008,Environmental Restrictive Covenant,163,200800006518,07/02/2008,"Agricultural or Food Crop, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,"Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property; Portion of Property,31804923,"1930 Indianapolis Ave, LEBANON",46052
27,344,3299,Milestone Contractors Plant 32,3410 S CR 650 E,COLUMBUS,BARTHOLOMEW,LUST,LUS No Further Action 10/7/2011,Environmental Restrictive Covenant,594,201100004106,04/27/2011,"Agricultural or Food Crop, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,"Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property,62832474,"3410 S CR 650 E, COLUMBUS",47203
28,375,6091002,H & L Plating & Grinding Inc,410 E Willard St,MUNCIE,DELAWARE,VRP,VRP Certificate of Completion 12/11/2015,Environmental Restrictive Covenant,1154,,08/24/2015,"Ground Water Use Restriction, Residential Use Restriction",Ground Water,Metals,Entire Property,80124351,"410 E Willard St, MUNCIE",47303
29,407,15374,Reinking Garage Incorporated,645 N 13TH ST,DECATUR,ADAMS,LUST,LUS No Further Action 2/28/2010,Environmental Restrictive Covenant,128,2009005283,12/18/2009,"Agricultural or Food Crop, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,"Petroleum, SVOCs - Semi Volatile Organic Compounds",Entire Property; Portion of Property,53400041,"645 N 13TH ST, DECATUR",46711
30,437,198,Shell Station,100 W Pine St,ZIONSVILLE,BOONE,LUST,LUS No Further Action 6/11/2012,Environmental Restrictive Covenant,777,201200005524,05/30/2012,Ground Water Use Restriction,Ground Water,"Metals, VOCs - Volatile Organic Compounds",Entire Property,66263632,"100 W Pine St, ZIONSVILLE",46052
31,616,19265,Globe Valve Corporation,1514 W Washington St,DELPHI,CARROLL,UST,LUS No Further Action 6/13/2016,Environmental Restrictive Covenant,1163,,06/08/2016,"Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property,80318897; 80404727,"1514 W Washington St, DELPHI",46913
32,623,6970606,Mariah Foods Incorporated,1333 Indiana Ave,COLUMBUS,BARTHOLOMEW,VRP,VRP Certificate of Completion 11/20/2008,Environmental Restrictive Covenant,290,200800011453,09/17/2008,"Agricultural or Food Crop, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil; Surface Soil,"Metals, SVOCs - Semi Volatile Organic Compounds, VOCs - Volatile Organic Compounds",Entire Property; Portion of Property,53447533,"1333 Indiana Ave, COLUMBUS",47203
33,626,4080904,Golden Castings Corporation,1616 S 10th St,COLUMBUS,BARTHOLOMEW,Brownfields,"BFD Comfort Letter 9/26/14  
BFD Comfort Letter 7/15/16",Environmental Restrictive Covenant,1165,,11/06/2014,"Maintain Vapor Mitigation System,  Soil or Vegetative Cap, Agricultural or Food Crop, Ground Water Use Restriction, Restricted Excavation Area",Ground Water; Soil Gas (Vapor); Subsurface Soil; Surface Soil,"Metals, SVOCs - Semi Volatile Organic Compounds",Entire Property; Portion of Property,80009465,"1616 S 10th St, COLUMBUS",47203
34,626,4080904,Golden Castings Corporation,1616 S 10th St,COLUMBUS,BARTHOLOMEW,Brownfields,"BFD Comfort Letter 9/26/14  
BFD Comfort Letter 7/15/16",Environmental Restrictive Covenant,1165,,11/06/2014,"Maintain Vapor Mitigation System,  Soil or Vegetative Cap, Agricultural or Food Crop, Ground Water Use Restriction, Restricted Excavation Area",Ground Water; Soil Gas (Vapor); Subsurface Soil; Surface Soil,"Metals, SVOCs - Semi Volatile Organic Compounds",Entire Property; Portion of Property,80009465,"1616 S 10th St, COLUMBUS",47203
35,626,4080904,Golden Castings Corporation,1616 S 10th St,COLUMBUS,BARTHOLOMEW,Brownfields,"BFD Comfort Letter 9/26/14  
BFD Comfort Letter 7/15/16",Environmental Restrictive Covenant,1166,,11/14/2016,"Maintain Vapor Mitigation System, Agricultural or Food Crop, Ground Water Use Restriction, Other Restriction (Specify)",Ground Water; Soil Gas (Vapor); Subsurface Soil,"Metals, PAH - Polynuclear Aromatic Hydrocarbons, VOCs - Volatile Organic Compounds",Entire Property; Portion of Property,80381827,"1616 S 10th St, COLUMBUS",47203
36,626,4080904,Golden Castings Corporation,1616 S 10th St,COLUMBUS,BARTHOLOMEW,Brownfields,"BFD Comfort Letter 9/26/14  
BFD Comfort Letter 7/15/16",Environmental Restrictive Covenant,1166,,11/14/2016,"Maintain Vapor Mitigation System, Agricultural or Food Crop, Ground Water Use Restriction, Other Restriction (Specify)",Ground Water; Soil Gas (Vapor); Subsurface Soil,"Metals, PAH - Polynuclear Aromatic Hydrocarbons, VOCs - Volatile Organic Compounds",Entire Property; Portion of Property,80381827,"1616 S 10th St, COLUMBUS",47203
37,629,6960203,Indiana Steel & Wire Acquisitions Company,2200 E Jackson St,MUNCIE,DELAWARE,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,06/12/2015,"Ground Water Recovery/Treatment,  Paved or Concrete Cap, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Solid Waste; Subsurface Soil; Surface Soil,"Metals, Other",Entire Property; Portion of Property,80334658,"2200 E Jackson St, MUNCIE",47303
38,629,6960203,Indiana Steel & Wire Acquisitions Company,2200 E Jackson St,MUNCIE,DELAWARE,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,06/12/2015,"Ground Water Recovery/Treatment,  Paved or Concrete Cap, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Solid Waste; Subsurface Soil; Surface Soil,"Metals, Other",Entire Property; Portion of Property,80334658,"2200 E Jackson St, MUNCIE",47303
39,629,6960203,Indiana Steel & Wire Company,2200 E Jackson St,MUNCIE,DELAWARE,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,06/12/2015,"Ground Water Recovery/Treatment,  Paved or Concrete Cap, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Solid Waste; Subsurface Soil; Surface Soil,"Metals, Other",Entire Property; Portion of Property,80334658,"2200 E Jackson St, MUNCIE",47303
40,629,6960203,Indiana Steel & Wire Company,2200 E Jackson St,MUNCIE,DELAWARE,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,06/12/2015,"Ground Water Recovery/Treatment,  Paved or Concrete Cap, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Solid Waste; Subsurface Soil; Surface Soil,"Metals, Other",Entire Property; Portion of Property,80334658,"2200 E Jackson St, MUNCIE",47303
41,629,6960203,Mock's Pond,2200 E Jackson St,MUNCIE,DELAWARE,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,06/12/2015,"Ground Water Recovery/Treatment,  Paved or Concrete Cap, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Solid Waste; Subsurface Soil; Surface Soil,"Metals, Other",Entire Property; Portion of Property,80334658,"2200 E Jackson St, MUNCIE",47303
42,629,6960203,Mock's Pond,2200 E Jackson St,MUNCIE,DELAWARE,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,06/12/2015,"Ground Water Recovery/Treatment,  Paved or Concrete Cap, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Solid Waste; Subsurface Soil; Surface Soil,"Metals, Other",Entire Property; Portion of Property,80334658,"2200 E Jackson St, MUNCIE",47303
43,656,6970402,NTN BCA Corporation,987 N US Hwy 421,GREENSBURG,DECATUR,VRP,VRP Certificate of Completion 10/11/2002,Deed Notice,710,226095,11/20/2002,Residential Use Restriction,Ground Water; Subsurface Soil,"Metals, PCB - Polychlorinated Byphenols, Petroleum, SVOCs - Semi Volatile Organic Compounds, VOCs - Volatile Organic Compounds",Entire Property,41119232,"987 N US Hwy 421, GREENSBURG",47240
44,662,IND088737275,I Jones Recycling,2601 Covington Rd,FORT WAYNE,ALLEN,Hazardous Waste,,Environmental Restrictive Covenant,1172,,12/04/2003,"Ground Water Use Restriction, Other Restriction (Specify), Residential Use Restriction, Soil Handling and Disposal",Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,"2601 Covington Rd, FORT WAYNE",46741
45,670,IND980501811,Fort Wayne Board of Commisioners,3651 N Clinton St,FORT WAYNE,ALLEN,Hazardous Waste,,Environmental Restrictive Covenant,1174,,10/09/2003,"Ground Water Use Restriction, Other Restriction (Specify), Residential Use Restriction",Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,83251018,"3651 N Clinton St, FORT WAYNE",46741
46,670,IND980501811,I J Recycling,3651 N Clinton St,FORT WAYNE,ALLEN,Hazardous Waste,,Environmental Restrictive Covenant,1174,,10/09/2003,"Ground Water Use Restriction, Other Restriction (Specify), Residential Use Restriction",Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,83251018,"3651 N Clinton St, FORT WAYNE",46741
47,670,IND980501811,IJ Recycling,3651 N Clinton St,FORT WAYNE,ALLEN,Hazardous Waste,,Environmental Restrictive Covenant,1174,,10/09/2003,"Ground Water Use Restriction, Other Restriction (Specify), Residential Use Restriction",Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,83251018,"3651 N Clinton St, FORT WAYNE",46741
48,789,201443856,Hook Super X Fort Wayne,6279 E State Blvd,FORT WAYNE,ALLEN,State Cleanup,ICP Completion - 5/27/15,Environmental Restrictive Covenant,1180,,05/15/2015,"Agricultural or Food Crop, Ground Water Use Restriction, Residential Use Restriction, Restricted Excavation Area",Ground Water; Subsurface Soil,Petroleum,Entire Property; Portion of Property,80181235,"6279 E State Blvd, FORT WAYNE",46741
49,846,4090404,Dimension Ford West,2300 W Jefferson Blvd,FORT WAYNE,ALLEN,Brownfields,BFF No Further Action 7/16/2012,Environmental Restrictive Covenant,513,2012058528,10/11/2012,Ground Water Use Restriction,Ground Water; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,66956204,"2300 W Jefferson Blvd, FORT WAYNE",46741
50,1089,6000605,Jones Transfer Company,5929 Moeller Rd,FORT WAYNE,ALLEN,VRP,VRP Certificate of Completion 2/25/2008,Environmental Restrictive Covenant,892,206060467,10/04/2006,"Agricultural or Food Crop, Excavation Notice Required, Ground Water Use Restriction, Other Restriction (Specify), Residential Use Restriction",Ground Water; Soil Gas (Vapor); Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,35807242,"5929 Moeller Rd, FORT WAYNE",46741
51,1098,6050401,STEVENSONS FABRICARE,359 W WALNUT ST,FRANKFORT,CLINTON,VRP,VRP Certificate of Completion 4/1/2015,Environmental Restrictive Covenant,1193,,01/14/2015,"Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,80015627,"359 W WALNUT ST, FRANKFORT",46039
52,1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,FORT WAYNE,ALLEN,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,692,2010017818,04/23/2010,"Agricultural or Food Crop, Residential Use Restriction",Subsurface Soil,"Metals, TPH - Total Petroleum Hydrocarbons",Portion of Property,55402850,"1217 S Lafayette St, FORT WAYNE",46741
53,1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,FORT WAYNE,ALLEN,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1194,,04/23/2010,"Agricultural or Food Crop, Residential Use Restriction",Subsurface Soil,"Metals, Petroleum",Portion of Property,68541310,"1217 S Lafayette St, FORT WAYNE",46741
54,1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,FORT WAYNE,ALLEN,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1194,,04/23/2010,"Agricultural or Food Crop, Residential Use Restriction",Subsurface Soil,"Metals, Petroleum",Portion of Property,68541310,"1217 S Lafayette St, FORT WAYNE",46741
55,1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,FORT WAYNE,ALLEN,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1194,,04/23/2010,"Agricultural or Food Crop, Residential Use Restriction",Subsurface Soil,"Metals, Petroleum",Portion of Property,68541310,"1217 S Lafayette St, FORT WAYNE",46741
56,1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,FORT WAYNE,ALLEN,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1195,,04/23/2010,"Agricultural or Food Crop, Residential Use Restriction",Subsurface Soil,"Metals, Petroleum, TPH - Total Petroleum Hydrocarbons",Portion of Property,68541324,"1217 S Lafayette St, FORT WAYNE",46741
57,1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,FORT WAYNE,ALLEN,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1195,,04/23/2010,"Agricultural or Food Crop, Residential Use Restriction",Subsurface Soil,"Metals, Petroleum, TPH - Total Petroleum Hydrocarbons",Portion of Property,68541324,"1217 S Lafayette St, FORT WAYNE",46741
58,1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,FORT WAYNE,ALLEN,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1195,,04/23/2010,"Agricultural or Food Crop, Residential Use Restriction",Subsurface Soil,"Metals, Petroleum, TPH - Total Petroleum Hydrocarbons",Portion of Property,68541324,"1217 S Lafayette St, FORT WAYNE",46741
59,1152,6990703,Dimension Ford West,5321 Illinois Rd,FORT WAYNE,ALLEN,VRP,VRP Certificate of Completion 3/15/2001,Deed Notice,727,202007824,01/28/2002,Residential Use Restriction,Subsurface Soil; Surface Soil,"Metals, SVOCs - Semi Volatile Organic Compounds, VOCs - Volatile Organic Compounds",Entire Property,30507219,"5321 Illinois Rd, FORT WAYNE",46741
60,1173,4862,Tobacco Road Kiel Brothers 6,850 Jonesville Rd,COLUMBUS,BARTHOLOMEW,UST,LUS No Further Action 12/18/2012,Environmental Restrictive Covenant,476,201200012413,10/23/2012,"Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,Petroleum,Entire Property,66996853,"850 Jonesville Rd, COLUMBUS",47203
61,1188,4063,Waste Management,2220 Bremer Rd,FORT WAYNE,ALLEN,UST,LUS No Further Action 4/7/2009,Environmental Restrictive Covenant,943,2009005199,02/06/2009,"Maintain Vapor Mitigation System,  Paved or Concrete Cap, Agricultural or Food Crop, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Subsurface Soil,TPH - Total Petroleum Hydrocarbons,Entire Property,44875578,"2220 Bremer Rd, FORT WAYNE",46741
62,1198,IC 203081862,3000 Engle Road,3000 Engle Rd,FORT WAYNE,ALLEN,Hazardous Waste (RCRA),Other-Specify,Environmental Restrictive Covenant,452,,08/11/2003,Ground Water Use Restriction,Ground Water,VOC - Volatile Organic Compounds,Entire Property,48157841,"3000 Engle Rd, FORT WAYNE",46741
64,1214,6753,Speedway 6145,904 W Coliseum,FORT WAYNE,ALLEN,UST,LUS No Further Action 8/28/2007,Environmental Restrictive Covenant,611,2007061667,11/06/2007,"Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction, Restricted Excavation Area",Ground Water; Subsurface Soil,Petroleum,Entire Property,66901100,"904 W Coliseum, FORT WAYNE",46741
65,1215,6738,EMRO Marketing Wake up 6146,3904 NORTHROP,FORT WAYNE,ALLEN,LUST,LUS No Further Action 8/24/2011,Environmental Restrictive Covenant,1127,2011020743,05/12/2011,"Paved or Concrete Cap, Agricultural or Food Crop, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,Petroleum,Entire Property; Portion of Property,63211973,"3904 NORTHROP, FORT WAYNE",46741
66,1217,6754,Speedway 6148,612 E Petit Ave,FORT WAYNE,ALLEN,LUST,LUS No Further Action 4/19/2013,Environmental Restrictive Covenant,1199,,02/26/2013,"Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,"Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property,67593901,"612 E Petit Ave, FORT WAYNE",46741
67,1231,2253,Larrys Automotive,3500 N BROADWAY AVE,MUNCIE,DELAWARE,LUST,LUS No Further Action 9/23/2013,Environmental Restrictive Covenant,1202,,07/11/2013,"Ground Water Use Restriction, Residential Use Restriction, Soil Handling and Disposal",Ground Water; Subsurface Soil,Petroleum,Entire Property,68562085,"3500 N BROADWAY AVE, MUNCIE",47303
68,1236,2410,Speedway 1214,2302 Fairfield Ave,FORT WAYNE,ALLEN,LUST,LUS No Further Action 4/8/2011,Environmental Restrictive Covenant,230,2011008777,03/01/2011,"Paved or Concrete Cap, Agricultural or Food Crop, Ground Water Use Restriction, Residential Use Restriction, Restricted Excavation Area",Ground Water; Subsurface Soil,"Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property; Portion of Property,61348337,"2302 Fairfield Ave, FORT WAYNE",46741
69,1246,18405,Johnson Oil Bigfoot,2355 W Jonathon Moore Pike,COLUMBUS,BARTHOLOMEW,UST,LUS No Further Action 5/3/2005,Environmental Restrictive Covenant,1006,200500015706,12/22/2005,"Agricultural or Food Crop, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,Petroleum,Entire Property,25389907,"2355 W Jonathon Moore Pike, COLUMBUS",47203
70,1264,13157,Johnsons Meadows Marathon,811 W Jackson St,MUNCIE,DELAWARE,UST,LUS No Further Action 9/29/2006,Environmental Restrictive Covenant,1025,2006R18913,08/07/2006,"Agricultural or Food Crop, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,Petroleum,Entire Property; Portion of Property,25131077,"811 W Jackson St, MUNCIE",47303
71,1272,5430,Kistners Family Marathon 2188,6303 Stellhorn Rd,FORT WAYNE,ALLEN,LUST,LUS No Further Action 12/14/2005,Environmental Restrictive Covenant,377,205065741,10/06/2005,"Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,"Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property; Portion of Property,26025325,"6303 Stellhorn Rd, FORT WAYNE",46741
