MASTER_AI_ID,FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,REGULATORY_PROGRAM,CLOSURE_TYPE,CONTROL_TYPE,IC_ID,INSTRUMENT_ID,DATE_IC_RECORDED,CONTROL_METHOD,AFFECTED_MEDIA,CONSTITUENTS_OF_CONCERN,RESTRICTION_COVERAGE,Terminated_Date,IC_VFC_ID,VFC_URL
61,1343,Speedway 9638,1113 W Eads Pkwy,Lawrenceburg,Dearborn County,UST,"LUS No Further Action 9/14/2011
Conditional Closure 4/25/19",Environmental Restrictive Covenant,26,2011005469,07-Jul-11,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,PAH - Polynuclear Aromatic Hydrocarbons; Petroleum; TPH - Total Petroleum Hydrocarbons,Entire Property,,62987877,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=62987877
64,1030,Keeneys Amoco,201 S Jackson St,Frankfort,Clinton County,UST,LUS No Further Action 3/31/2014,Environmental Restrictive Covenant,1140,,24-Feb-14,Ground Water Use Restriction; Residential Use Restriction; Soil Restoration,Ground Water; Subsurface Soil,Petroleum,Entire Property,,69820043,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=69820043
80,2948,Clark Oil 1922,205 Adams Rd,Decatur,Adams County,LUST,LUS No Further Action 3/22/2007,Environmental Restrictive Covenant,283,2007000747,20-Feb-07,Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum; TPH - Total Petroleum Hydrocarbons,Entire Property,,24014786,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=24014786
147,19385,Holiday Inn,300 E Washington Blvd,Fort Wayne,Allen County,UST,LUS No Further Action 11/7/2012,Environmental Restrictive Covenant,320,2012028593,25-May-11,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum,Entire Property,,66302650,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66302650
150,4120207,Clark Oil 686,312 N Walnut,Hartford City,Blackford County,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1143,,10-Mar-16,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,,80264241,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80264241
150,4120207,Clark Oil 686,312 N Walnut,Hartford City,Blackford County,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1143,,10-Mar-16,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,,80264241,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80264241
150,4120207,Clark Oil 686,312 N Walnut,Hartford City,Blackford County,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1144,,10-Mar-16,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,,80264226,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80264226
150,4120207,Clark Oil 686,312 N Walnut,Hartford City,Blackford County,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1144,,10-Mar-16,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,,80264226,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80264226
152,2991,Circle K,2304 Sherman Boulevard,Fort Wayne,Allen County,LUST,LUS No Further Action 12/19/2007,Environmental Restrictive Covenant,423,2007047694,22-Aug-07,Agricultural or Food Crop; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum; TPH - Total Petroleum Hydrocarbons,Entire Property,,21097183,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=21097183
152,2991,Circle K 2248,2304 Sherman Boulevard,Fort Wayne,Allen County,LUST,LUS No Further Action 12/19/2007,Environmental Restrictive Covenant,423,2007047694,22-Aug-07,Agricultural or Food Crop; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum; TPH - Total Petroleum Hydrocarbons,Entire Property,,21097183,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=21097183
158,2914,Clark Oil 982,1011 Broadway St,Fort Wayne,Allen County,LUST,LUS No Further Action 8/3/2010,Environmental Restrictive Covenant,595,2010004348,02-Feb-10,Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum,Entire Property,,54234898,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=54234898
174,2931,Tobacco Road 74,908 25th St,Columbus,Bartholomew County,LUST,LUS No Further Action 4/27/2012,Environmental Restrictive Covenant,568,2.012E+11,06-Jan-12,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,TPH - Total Petroleum Hydrocarbons,Entire Property,,65028468,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=65028468
213,7102,Speedway 6226,3202 Taylor St,Fort Wayne,Allen County,LUST,LUS No Further Action 7/20/2006,Environmental Restrictive Covenant,490,206016724,28-Mar-06,Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum,Entire Property,,25183646,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=25183646
229,6980706,Ball-Foster Glass Container Company,1509 S Macedonia Ave,Muncie,Delaware County,VRP,VRP Certificate of Completion 6/28/2000,Deed Notice,760,2000/2555-2559,24-Jul-00,Residential Use Restriction,Subsurface Soil,Petroleum,Entire Property,,66614361,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66614361
231,200612063,"Design Institute America, Inc",919 E 14th St,Jasper,Dubois County,State Cleanup,SCS No Further Action 7/10/2008,Environmental Restrictive Covenant,906,115905; 118275; 2008003193; 85259,06-Jun-08,Ground Water Use Restriction; Residential Use Restriction,Subsurface Soil,Metals,Entire Property; Portion of Property,,51288162,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=51288162
239,6990303,Former National Guard Armory,330 S Clinton St,Fort Wayne,Allen County,VRP,VRP Certificate of Completion 5/15/2002,Deed Notice,662,204051388,12-Jul-04,Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,Petroleum,Entire Property,,46259328,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=46259328
324,203,Former Shell Gasoline Station,1930 Indianapolis Ave,Lebanon,Boone County,LUST,LUS No Further Action 10/10/2008,Environmental Restrictive Covenant,163,2.008E+11,02-Jul-08,Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum; TPH - Total Petroleum Hydrocarbons,Entire Property; Portion of Property,,31804923,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=31804923
344,3299,Milestone Contractors Plant 32,3410 S CR 650 E,Columbus,Bartholomew County,LUST,LUS No Further Action 10/7/2011,Environmental Restrictive Covenant,594,2.011E+11,27-Apr-11,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum; TPH - Total Petroleum Hydrocarbons,Entire Property,,62832474,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=62832474
375,6091002,H & L Plating & Grinding Inc,410 E Willard St,Muncie,Delaware County,VRP,VRP Certificate of Completion 12/11/2015,Environmental Restrictive Covenant,1154,,24-Aug-15,Ground Water Use Restriction; Residential Use Restriction,Ground Water,Metals,Entire Property,,80124351,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80124351
407,15374,Reinking Garage Incorporated,645 N 13TH ST,Decatur,Adams County,LUST,LUS No Further Action 2/28/2010,Environmental Restrictive Covenant,128,2009005283,18-Dec-09,Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum; SVOCs - Semi Volatile Organic Compounds,Entire Property; Portion of Property,,53400041,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=53400041
437,198,Shell Station,100 W Pine St,Zionsville,Boone County,LUST,LUS No Further Action 6/11/2012,Environmental Restrictive Covenant,777,2.012E+11,30-May-12,Ground Water Use Restriction,Ground Water,Metals; VOCs - Volatile Organic Compounds,Entire Property,,66263632,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66263632
616,19265,Globe Valve Corporation,1514 W Washington St,Delphi,Carroll County,UST,LUS No Further Action 6/13/2016,Environmental Restrictive Covenant,1163,,08-Jun-16,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property,,80318897; 80404727,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80318897; https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80404727
623,6970606,Mariah Foods Incorporated,1333 Indiana Ave,Columbus,Bartholomew County,VRP,VRP Certificate of Completion 11/20/2008,Environmental Restrictive Covenant,290,2.008E+11,17-Sep-08,Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,Metals; SVOCs - Semi Volatile Organic Compounds; VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,53447533,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=53447533
626,4080904,Golden Castings Corporation,1616 S 10th St,Columbus,Bartholomew County,Brownfields,"BFD Comfort Letter 9/26/14  
BFD Comfort Letter 7/15/16",Environmental Restrictive Covenant,1165,,06-Nov-14,Maintain Vapor Mitigation System;  Soil or Vegetative Cap; Agricultural or Food Crop; Ground Water Use Restriction; Restricted Excavation Area,Ground Water; Soil Gas (Vapor); Subsurface Soil; Surface Soil,Metals; SVOCs - Semi Volatile Organic Compounds,Entire Property; Portion of Property,,80009465,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80009465
626,4080904,Golden Castings Corporation,1616 S 10th St,Columbus,Bartholomew County,Brownfields,"BFD Comfort Letter 9/26/14  
BFD Comfort Letter 7/15/16",Environmental Restrictive Covenant,1165,,06-Nov-14,Maintain Vapor Mitigation System;  Soil or Vegetative Cap; Agricultural or Food Crop; Ground Water Use Restriction; Restricted Excavation Area,Ground Water; Soil Gas (Vapor); Subsurface Soil; Surface Soil,Metals; SVOCs - Semi Volatile Organic Compounds,Entire Property; Portion of Property,,80009465,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80009465
626,4080904,Golden Castings Corporation,1616 S 10th St,Columbus,Bartholomew County,Brownfields,"BFD Comfort Letter 9/26/14  
BFD Comfort Letter 7/15/16",Environmental Restrictive Covenant,1166,,14-Nov-16,Maintain Vapor Mitigation System; Agricultural or Food Crop; Ground Water Use Restriction; Other Restriction (Specify),Ground Water; Soil Gas (Vapor); Subsurface Soil,Metals; PAH - Polynuclear Aromatic Hydrocarbons; VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,80381827,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80381827
626,4080904,Golden Castings Corporation,1616 S 10th St,Columbus,Bartholomew County,Brownfields,"BFD Comfort Letter 9/26/14  
BFD Comfort Letter 7/15/16",Environmental Restrictive Covenant,1166,,14-Nov-16,Maintain Vapor Mitigation System; Agricultural or Food Crop; Ground Water Use Restriction; Other Restriction (Specify),Ground Water; Soil Gas (Vapor); Subsurface Soil,Metals; PAH - Polynuclear Aromatic Hydrocarbons; VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,80381827,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80381827
629,6960203,Indiana Steel & Wire Acquisitions Company,2200 E Jackson St,Muncie,Delaware County,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,12-Jun-15,Ground Water Recovery/Treatment;  Paved or Concrete Cap; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Solid Waste; Subsurface Soil; Surface Soil,Metals; Other,Entire Property; Portion of Property,,80334658,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80334658
629,6960203,Indiana Steel & Wire Acquisitions Company,2200 E Jackson St,Muncie,Delaware County,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,12-Jun-15,Ground Water Recovery/Treatment;  Paved or Concrete Cap; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Solid Waste; Subsurface Soil; Surface Soil,Metals; Other,Entire Property; Portion of Property,,80334658,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80334658
629,6960203,Indiana Steel & Wire Company,2200 E Jackson St,Muncie,Delaware County,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,12-Jun-15,Ground Water Recovery/Treatment;  Paved or Concrete Cap; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Solid Waste; Subsurface Soil; Surface Soil,Metals; Other,Entire Property; Portion of Property,,80334658,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80334658
629,6960203,Indiana Steel & Wire Company,2200 E Jackson St,Muncie,Delaware County,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,12-Jun-15,Ground Water Recovery/Treatment;  Paved or Concrete Cap; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Solid Waste; Subsurface Soil; Surface Soil,Metals; Other,Entire Property; Portion of Property,,80334658,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80334658
629,6960203,Mock's Pond,2200 E Jackson St,Muncie,Delaware County,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,12-Jun-15,Ground Water Recovery/Treatment;  Paved or Concrete Cap; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Solid Waste; Subsurface Soil; Surface Soil,Metals; Other,Entire Property; Portion of Property,,80334658,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80334658
629,6960203,Mock's Pond,2200 E Jackson St,Muncie,Delaware County,VRP,VRP 6960203,Environmental Restrictive Covenant,6098,,12-Jun-15,Ground Water Recovery/Treatment;  Paved or Concrete Cap; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Solid Waste; Subsurface Soil; Surface Soil,Metals; Other,Entire Property; Portion of Property,,80334658,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80334658
656,6970402,NTN BCA Corporation,987 N US Hwy 421,Greensburg,Decatur County,VRP,VRP Certificate of Completion 10/11/2002,Deed Notice,710,226095,20-Nov-02,Residential Use Restriction,Ground Water; Subsurface Soil,Metals; PCB - Polychlorinated Byphenols; Petroleum; SVOCs - Semi Volatile Organic Compounds; VOCs - Volatile Organic Compounds,Entire Property,,41119232,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=41119232
662,IND088737275,I Jones Recycling,2601 Covington Rd,Fort Wayne,Allen County,Hazardous Waste,,Environmental Restrictive Covenant,1172,,04-Dec-03,Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction; Soil Handling and Disposal,Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,,
670,IND980501811,Fort Wayne Board of Commisioners,3651 N Clinton St,Fort Wayne,Allen County,Hazardous Waste,,Environmental Restrictive Covenant,1174,,09-Oct-03,Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,83251018,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=83251018
670,IND980501811,I J Recycling,3651 N Clinton St,Fort Wayne,Allen County,Hazardous Waste,,Environmental Restrictive Covenant,1174,,09-Oct-03,Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,83251018,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=83251018
670,IND980501811,IJ Recycling,3651 N Clinton St,Fort Wayne,Allen County,Hazardous Waste,,Environmental Restrictive Covenant,1174,,09-Oct-03,Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,83251018,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=83251018
789,201443856,Hook Super X Fort Wayne,6279 E State Blvd,Fort Wayne,Allen County,State Cleanup,ICP Completion - 5/27/15,Environmental Restrictive Covenant,1180,,15-May-15,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction; Restricted Excavation Area,Ground Water; Subsurface Soil,Petroleum,Entire Property; Portion of Property,,80181235,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80181235
846,4090404,Dimension Ford West,2300 W Jefferson Blvd,Fort Wayne,Allen County,Brownfields,BFF No Further Action 7/16/2012,Environmental Restrictive Covenant,513,2012058528,11-Oct-12,Ground Water Use Restriction,Ground Water; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,66956204,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66956204
1089,6000605,Jones Transfer Company,5929 Moeller Rd,Fort Wayne,Allen County,VRP,VRP Certificate of Completion 2/25/2008,Environmental Restrictive Covenant,892,206060467,04-Oct-06,Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Soil Gas (Vapor); Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,35807242,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=35807242
1098,6050401,STEVENSONS FABRICARE,359 W WALNUT ST,Frankfort,Clinton County,VRP,VRP Certificate of Completion 4/1/2015,Environmental Restrictive Covenant,1193,,14-Jan-15,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,80015627,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80015627
1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,Fort Wayne,Allen County,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,692,2010017818,23-Apr-10,Agricultural or Food Crop; Residential Use Restriction,Subsurface Soil,Metals; TPH - Total Petroleum Hydrocarbons,Portion of Property,,55402850,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=55402850
1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,Fort Wayne,Allen County,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1194,,23-Apr-10,Agricultural or Food Crop; Residential Use Restriction,Subsurface Soil,Metals; Petroleum,Portion of Property,,68541310,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=68541310
1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,Fort Wayne,Allen County,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1194,,23-Apr-10,Agricultural or Food Crop; Residential Use Restriction,Subsurface Soil,Metals; Petroleum,Portion of Property,,68541310,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=68541310
1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,Fort Wayne,Allen County,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1194,,23-Apr-10,Agricultural or Food Crop; Residential Use Restriction,Subsurface Soil,Metals; Petroleum,Portion of Property,,68541310,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=68541310
1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,Fort Wayne,Allen County,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1195,,23-Apr-10,Agricultural or Food Crop; Residential Use Restriction,Subsurface Soil,Metals; Petroleum; TPH - Total Petroleum Hydrocarbons,Portion of Property,,68541324,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=68541324
1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,Fort Wayne,Allen County,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1195,,23-Apr-10,Agricultural or Food Crop; Residential Use Restriction,Subsurface Soil,Metals; Petroleum; TPH - Total Petroleum Hydrocarbons,Portion of Property,,68541324,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=68541324
1120,24185,FWCS - AUTOMOTIVE CENTER,1217 S Lafayette St,Fort Wayne,Allen County,UST,LUS No Further Action 5/1/2012,Environmental Restrictive Covenant,1195,,23-Apr-10,Agricultural or Food Crop; Residential Use Restriction,Subsurface Soil,Metals; Petroleum; TPH - Total Petroleum Hydrocarbons,Portion of Property,,68541324,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=68541324
1152,6990703,Dimension Ford West,5321 Illinois Rd,Fort Wayne,Allen County,VRP,VRP Certificate of Completion 3/15/2001,Deed Notice,727,202007824,28-Jan-02,Residential Use Restriction,Subsurface Soil; Surface Soil,Metals; SVOCs - Semi Volatile Organic Compounds; VOCs - Volatile Organic Compounds,Entire Property,,30507219,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=30507219
